Feature,Importance
porcentaje_cartera_vencida_telcos,2.4653153246582998e-21
version_sistema_operativo_9.0,3.3691706467641124e-25
productos_abiertos_ahorro_9.0,1.590057250261508e-26
version_sistema_operativo_5.0,-2.0167067431331584e-25
monto_min_transado_2m,-5.649474577247328e-25
fecha_desembolso_201809,-3.283864337784595e-24
fecha_desembolso_201805,-6.1240687300373245e-24
fecha_desembolso_201806,-6.487227655577e-24
productos_abiertos_ahorro_5.0,-6.653977986766557e-24
fecha_desembolso_201807,-1.2957033333287947e-23
desv_recargas_pse_12m,-1.9016808828505122e-23
productos_abiertos_ahorro_3.0,-4.087952836519962e-23
desv_retiros_atm_12m,-4.588808520594737e-23
saldo_prom_rotativo,-4.751273668159801e-22
cupo_disp_rotativo,-7.918752109338564e-22
cupo_max_rotativo,-2.4730779627594902e-21
part_ahorro_total,-3.3035937077444034e-21
uso_total_prod_3m_rotativo,-3.612039598592087e-21
pct_productos_cerrados_rotativo,-7.104138041244361e-21
porcentaje_productos_48meses_total,-7.138462902265742e-21
meses_apertura_rotativo,-9.622582991200342e-21
ponderacion_24m_rotativo,-1.1104366822008771e-20
ponderacion_reportes_al_dia_18m_total,-1.1695746181503348e-20
id_cliente,-5.745905342315138e-12
