id_cliente,fecha_desembolso,incumplimiento,tipo_cliente,desv_retiros_atm_12m,monto_min_transado_1m,monto_min_transado_2m,desv_recargas_pse_12m,prom_retiros_atm_12m,version_sistema_operativo,cupo_disp_rotativo,meses_cancel_telcos,porcentaje_productos_48meses_total,meses_apertura_ultimo_prod_total,meses_apertura_telcos,meses_apertura_rotativo,porcentaje_cartera_vencida_telcos,saldo_prom_rotativo,uso_total_prod_3m_rotativo,cupo_max_rotativo,part_ahorro_total,pct_productos_cerrados_rotativo,meses_apertura_ahorro,productos_abiertos_ahorro,saldo_total_9_meses_rotativo,cancel_pos_12m,ponderacion_reportes_al_dia_18m_total,ponderacion_24m_rotativo
164787831824.0,201811,0,adicion,1.4043583,0.0,0.0,0.0,1.225317,12.0,0.68,10.0,88.89,2.0,73.0,50.0,0.0,2.32,87.34,4.48,33.33,33.33,5.0,3.0,1.91,1.0,100.0,83.86283
172760671212.0,201812,0,objetivo,0.2763854,5.1200523e-06,0.0,0.0,0.03946707,6.0,0.34,95.0,36.36,0.0,100.0,101.0,0.0,2.96,90.45,5.31,36.36,50.0,0.0,4.0,7.9,1.0,100.0,89.22658
190366548806.0,201811,0,objetivo,0.2763854,0.0,0.0,0.26152387,0.06777667,8.0,5.59,62.0,75.0,9.0,190.0,9.0,0.0,4.39,34.58,9.98,50.0,90.91,9.0,4.0,6.36,3.0,100.0,48.744488
302277546824.0,201801,0,adicion,0.0,0.0,1.3555333e-06,0.0,0.0,0.0,0.0,7.0,83.33,0.0,113.0,20.0,0.0,2.2,94.65,2.58,25.0,50.0,4.0,3.0,4.08,0.0,100.0,95.946045
493449871028.0,201812,0,adicion,0.0,0.0,0.0,0.0,0.0,7.0,0.08,58.0,66.67,3.0,72.0,25.0,0.0,0.69,81.33,0.77,55.56,80.0,5.0,5.0,0.85,1.0,100.0,85.90261
529869845475.0,201812,0,objetivo,0.5527708,0.0,2.5600261e-06,0.0,0.07040072,8.0,0.46,3.0,75.0,0.0,81.0,26.0,100.0,1.96,57.74,2.42,62.5,50.0,0.0,5.0,2.19,0.0,0.0,100.0
593727842477.0,201811,0,objetivo,0.2763854,2.5600261e-06,2.5600261e-06,0.0070755383999999,0.0032000327,7.0,2.76,13.0,76.92,4.0,70.0,122.0,0.0,3.34,48.86,8.32,28.57,73.68,4.0,4.0,8.07,2.0,100.0,100.0
713480364874.0,201805,0,adicion,1.1149241,2.8160288e-05,1.5360157999999997e-05,0.01873248,0.25224257,8.0,5.26,29.0,41.18,0.0,50.0,116.0,0.0,1.81,12.96,21.5,35.29,75.0,0.0,6.0,3.99,5.0,100.0,100.0
755610459379.0,201803,0,adicion,0.0,0.0,0.0,0.0,0.0,0.0,6.99,28.0,58.82,4.0,166.0,109.0,0.0,4.98,43.15,19.2,17.65,85.19,4.0,3.0,1.18,0.0,100.0,100.0
859911243009.0,201801,0,adicion,0.0,0.0,1.3555333e-06,0.01873248,0.0,0.0,2.86,18.0,90.0,3.0,45.0,71.0,0.0,2.02,40.82,8.13,27.27,55.56,6.0,3.0,7.13,5.0,100.0,100.0
